OBJECTID,CALL_TYPE_FINAL,LOCATION,CURR_DGROUP,callCreatedDateTime,NEIGHBORHOOD,MAP_PAGE,x,y
193,Theft,<100 BLK OF BAILEY AVE,3,2023-09-24T23:44:00,MOUNT WASHINGTON,1807,-80.00492054,40.42669299
194,Burglary,1100 BLK OF TYNDALL ST,6,2023-09-24T21:49:00,SHERADEN,2022,-80.05995344,40.45260135
195,Aggravated Assault,200 BLK OF MADELINE ST,3,2023-09-24T21:37:00,CARRICK,2902,-79.98260165,40.39334708
196,Theft from Vehicle,4000 BLK OF BIGELOW BLVD,4,2023-09-24T21:00:00,NORTH OAKLAND,5620,-79.95371156,40.45287154
197,Theft from Vehicle,CENTRE AVE & BRYN MAWR RD,4,2023-09-24T20:30:00,NORTH OAKLAND,506,-79.95771039,40.44897245
198,Theft from Vehicle,300 BLK OF NATCHEZ ST,3,2023-09-24T20:03:00,MOUNT WASHINGTON,1914,-80.0116066,40.42856819
199,Theft,1600 BLK OF ARLINGTON AVE,3,2023-09-24T19:36:00,SOUTH SIDE SLOPES,1706,-79.98671538,40.41789374
200,Theft from Vehicle,3900 BLK OF BIGELOW BLVD,2,2023-09-24T18:07:00,UPPER HILL,506,-79.95506513,40.45416953
201,Theft,400 BLK OF N HIGHLAND AVE,5,2023-09-24T18:07:00,EAST LIBERTY,1115,-79.92217164,40.46515781
202,Theft,600 BLK OF SMITHFIELD ST,2,2023-09-24T17:27:00,CENTRAL BUSINESS DISTRICT,201,-79.99794346,40.44197665
203,Theft from Vehicle,4200 BLK OF CENTRE AVE,4,2023-09-24T16:40:00,NORTH OAKLAND,5620,-79.95746176,40.44890965
204,Theft,2000 BLK OF WHARTON ST,3,2023-09-24T16:00:00,SOUTH SIDE FLATS,1702,-79.97660708,40.43113193
205,Theft,1400 BLK OF E CARSON ST,3,2023-09-24T15:53:00,SOUTH SIDE FLATS,1702,-79.98403097,40.42864859
206,Theft from Vehicle,400 BLK OF GOLD WAY,4,2023-09-24T15:14:00,NORTH OAKLAND,5620,-79.95333543,40.45477032
207,Theft from Vehicle,4000 BLK OF BIGELOW BLVD,4,2023-09-24T14:50:00,NORTH OAKLAND,5620,-79.95451396,40.45139683
208,Theft from Vehicle,4100 BLK OF BIGELOW BLVD,4,2023-09-24T14:12:00,NORTH OAKLAND,5620,-79.95459945,40.45012386
209,Theft from Vehicle,4000 BLK OF BIGELOW BLVD,4,2023-09-24T13:35:00,NORTH OAKLAND,5620,-79.95451396,40.45139683
210,Theft from Vehicle,4000 BLK OF BIGELOW BLVD,4,2023-09-24T12:28:00,NORTH OAKLAND,5620,-79.95371156,40.45287154
211,Theft,100 BLK OF 11TH ST,2,2023-09-24T12:00:00,CENTRAL BUSINESS DISTRICT,201,-79.99325514,40.44469886
212,Burglary,1500 BLK OF FLECK ST,1,2023-09-24T09:52:00,TROY HILL,2406,-79.98022349,40.46595283
213,Homicide,1500 BLK OF LINCOLN AVE,5,2023-09-24T07:58:00,LINCOLN-LEMINGTON-BELMAR,5619,-79.8958064,40.46872659
214,Burglary,5200 BLK OF BROAD ST,5,2023-09-24T07:38:00,GARFIELD,1017,-79.93960784,40.4659434
215,Theft,5200 BLK OF BROAD ST,5,2023-09-24T07:38:00,GARFIELD,1017,-79.93960784,40.4659434
